类别,物品,单位,价格（元）,备注
磁控管类,磁控管 (带铁),个,8.2,
磁控管类,磁控管 (带铁),吨,11500,过秤
游戏机面板类,游戏机面板,斤,7,
游戏机面板类,游戏机长条板,吨,8300,算杂板
机械电表类,机械表 (三相四线862),个,38,
机械电表类,机械表 (三相三线862),个,28,
机械电表类,机械表 (DT8三相四线),个,28,
机械电表类,机械表 (DT8三相三线),个,23,
机械电表类,机械表 (DD862),个,16,
机械电表类,机械表 (DD28),个,11,
机械电表类,各种电表,个,10, (不分磁铁真假，大小线包，铁架，塑料架，铝架)
机械电表类,机械表 (三相四线862）,个,15,铝包
灯板类,长条灯板,吨,3000,
灯板类,灯板 (黑塑料边),吨,4600,
灯板类,白面灯板,吨,5000,
灯板类,被面黑面灯板,吨,6000,
灯板类,单层3个灯,吨,5000,
灯板类,双层3个灯 (银),吨,6000,
灯板类,双层三个灯 (金丝),吨,16000,
灯板类,灯板 (金丝),张, 10 - 150, (点个的开始收，以照片和实物为准)
继电器类,汽车继电器,吨,24000,以上
继电器类,大透明继电器,吨,24000,
继电器类,小透明继电器,吨,50000,
变频器废模块类,变频器废模块 (厚铜),斤,22,
变频器废模块类,变频器废模块 (中厚铜),斤,18,
变频器废模块类,变频器废模块 (薄铜),斤,8,
插排插座类,插排插座,吨,6000, (质量要求带网口的和带铁的不行)
插排插座类,插排插座,吨,3000,铁的
电脑类,双桥,吨,130000,
电脑类,单桥,吨,66000,
电脑类,无桥,吨,31000,
电脑类,电源,吨,11000,
电脑类,光驱,吨,9200,
电脑类,硬盘,吨,30000,
电脑类,显卡网卡,吨,53000,不带铝
电脑类,带铝显卡,吨,30000,
CPU类,CPU (全针),个,8.2,
CPU类,CPU (半针),个,7.2,
CPU类,CPU (平面),个,4.2,
CPU类,CPU (水度的),斤,180,
CPU类,CPU (电度的),斤,330,
CPU类,CPU (陶瓷双黄),个,150, (发照片报价格)
显卡类,带桥显卡,斤,90,
电脑整机类,整个电脑,个,75 - 120, (16斤以上，不缺东西，无桥75，单桥85，双桥120，要求主板9两以上，CPU，内存，显卡，电源，硬盘，光驱，整个机箱，缺东西扣钱)
电容类,电热电容,吨,9000,起
电容类,变频器电容,吨,4000,不看容量
电容类,配电柜电容,吨,2500, (3.5斤以上，不起包，也要看型号)
电容类,线路板上面小电容,吨,2000,
电容类,电力高压电容,吨,2600,起
电容类,其他电容,, , (品种太多，发照片报价格)
联系方式13500450043,,,,
